rank,system_rank,cns_name,component,n_objects,lhs,ra_2000,dec_2000,proper_motion_arcsec_yr,proper_motion_angle_deg,parallax_arcsec,parallax_error,spectral_type,V_mag,Mv_mag,mass_msun,notes,common_name,distance_ly
0,0,SUN,,1+8P,,,,,,,,G2.0 V,-26.72,4.85,1.00,8 planets,Sun,0.0
1,1,GJ 551,,1,49,14 29 43.0,-62 40 46,3.853,281.5,0.76885,0.00029,M5.0 V,11.05,15.48,0.11,separation 7849",Proxima Centauri,4.24
1,1,GJ 559,A,3,50,14 39 36.5,-60 50 02,3.710,277.5,0.74723,0.00117,G2.0 V,0.01,4.38,1.14,,alpha Centauri A,4.37
1,1,GJ 559,B,,51,14 39 35.1,-60 50 14,3.724,284.8,0.74723,0.00117,K0 V,1.34,5.71,0.92,orbit 18",alpha Centauri B,4.37
2,2,GJ 699,,1,57,17 57 48.5,+04 41 36,10.358,355.6,0.54551,0.00029,M3.5 V,9.57,13.25,0.16,,Barnard's Star,5.98
3,3,GJ 406,,1,36,10 56 29.2,+07 00 53,4.696,234.6,0.41910,0.00210,M5.5 V,13.53,16.64,0.09,,Wolf 359,7.78
4,4,GJ 411,,1,37,11 03 20.2,+35 58 12,4.802,186.9,0.39325,0.00057,M2.0 V,7.47,10.44,0.46,,Lalande 21185,8.29
5,5,GJ 244,A,2,219,06 45 08.9,-16 42 58,1.339,204.1,0.38002,0.00128,A1.0 V,-1.43,1.47,1.99,,Sirius,8.58
5,5,GJ 244,B,,,06 45 08.9,-16 42 58,1.339,204.1,0.38002,0.00128,DA2,8.44,11.34,1.00,orbit 8",Sirius B,8.58
6,6,GJ 65,A,2,9,01 39 01.3,-17 57 01,3.368,080.4,0.37370,0.00270,M5.5 V,12.61,15.47,0.11,,BL Ceti,8.73
6,6,GJ 65,B,,10,01 39 01.3,-17 57 01,3.368,080.4,0.37370,0.00270,M6.0 V,13.06,15.93,0.10,orbit < 2",UV Ceti,8.73
7,7,GJ 729,,1,3414,18 49 49.4,-23 50 10,0.666,106.8,0.33722,0.00197,M3.5 V,10.44,13.08,0.17,,Ross 154,9.68
8,8,GJ 905,,1,549,23 41 54.7,+44 10 30,1.617,177.0,0.31637,0.00055,M5.5 V,12.29,14.79,0.12,,Ross 248,10.31
